aH,sH,aC,sC,aN,sN,pH
0.452767265,1.168835664,3.114554787,1.079362512,8.493419075,4.199977493,-4.004200868
0.456825513,1.162934375,3.099255371,1.062839103,8.521177101,4.257328701,-3.964000728
0.461123174,1.160173965,3.082173395,1.044612384,8.546692276,4.308357906,-3.923800587
0.464611489,1.159443092,3.06480732,1.029613137,8.569002724,4.354592609,-3.883600446
0.466267234,1.162825775,3.046783829,1.017348862,8.585601425,4.393189335,-3.843400305
0.466276103,1.16749301,3.024492502,1.004460227,8.595601463,4.431141949,-3.803200164
0.466904467,1.17030077,3.001193571,0.99089222,8.606542969,4.473297215,-3.763000023
0.468538249,1.170567989,2.971378422,0.975392044,8.608720207,4.52598505,-3.722799882
0.47199195,1.165933895,2.93500576,0.959906447,8.604014206,4.562963772,-3.682599741
0.469987452,1.155868864,2.884769011,0.948547053,8.597057343,4.593523598,-3.6423996
0.469060516,1.144910955,2.810399389,0.936289775,8.640895081,4.655973721,-3.602199459
0.471924001,1.135455775,2.738521528,0.923218882,8.681884956,4.701173592,-3.561999318
0.47427544,1.128541088,2.678605938,0.911981523,8.720245361,4.755690479,-3.521799177
0.475621378,1.128665423,2.644322634,0.901869369,8.759199333,4.813164616,-3.481600926
0.476970488,1.135385609,2.623665619,0.891369379,8.786354637,4.86751976,-3.441400785
0.478231108,1.14972105,2.604485226,0.877817345,8.809270668,4.883041,-3.401200644
0.477953047,1.169257879,2.560452461,0.85951556,8.823996353,4.890070724,-3.361000503
0.477360755,1.18614018,2.511051178,0.840884984,8.832103539,4.92228756,-3.320800362
0.47888574,1.202670407,2.490027857,0.822753775,8.831804085,4.977350426,-3.280600221
0.480043828,1.227310395,2.477515078,0.803082311,8.824720573,5.038231373,-3.24040008
0.479582447,1.264220715,2.473809052,0.781806839,8.821343994,5.071292496,-3.200199939
0.477204245,1.316282606,2.488324547,0.756915748,8.811985397,5.069706917,-3.159999798
0.475996286,1.383644366,2.541098928,0.72965374,8.76115303,5.039099407,-3.119799657
0.467743182,1.439720368,2.56986742,0.702640069,8.696812057,4.994203472,-3.079599516
0.451620805,1.485447502,2.561157942,0.674941409,8.639352417,4.954199123,-3.039399375
0.432193893,1.531879759,2.525700569,0.649349892,8.584974861,4.860812664,-2.999199234
0.409640068,1.556575799,2.513972998,0.63141818,8.531312752,4.796195793,-2.958999093
0.384757996,1.571206427,2.505715036,0.61649704,8.471583176,4.744088078,-2.918800842
0.361305755,1.564628792,2.493681955,0.603213596,8.433526039,4.742002678,-2.878600701
0.341232824,1.549953008,2.475402975,0.591006136,8.374368095,4.747849464,-2.83840056
0.316311729,1.541946888,2.490181732,0.57199043,8.300139427,4.737468433,-2.798200419
0.291062379,1.568798161,2.518337727,0.551093745,8.220290565,4.651863003,-2.758000278
0.2627011,1.564337921,2.559035969,0.541783822,8.164174461,4.620104122,-2.717800137
0.228729182,1.543854237,2.610238266,0.536295855,8.118935776,4.564842224,-2.677599996
0.198314136,1.525877643,2.713959646,0.546479762,8.047077179,4.474882507,-2.637399855
0.180335456,1.469941664,2.892766809,0.594615817,7.985585308,4.39896698,-2.597199714
0.166966283,1.382760978,2.937680054,0.652750611,7.951355743,4.34451685,-2.556999574
0.159404808,1.298980594,2.926642561,0.717627215,7.902558231,4.264185429,-2.516799433
0.1561315,1.223728776,2.872702408,0.761548197,7.853375435,4.175402164,-2.476599292
0.154072028,1.182000828,2.774907923,0.789791703,7.854457474,4.078579903,-2.436399151
0.155721718,1.181479979,2.707393312,0.800947428,7.831550598,3.974678755,-2.396200899
